1762890398.630098820,7.319790516858043211e-19,-3.273272177495078731e-18,1.497188932262361050e-04
1762890398.650129080,7.323964160036256081e-19,-3.275508460281115841e-18,1.497189223300665617e-04
1762890398.670199394,4.448434128666634593e-19,-1.734188807108368131e-18,1.496667828178033233e-04
1762890398.690083027,4.831627098395473200e-19,-1.939584887638068173e-18,1.496735640102997422e-04
1762890398.710221767,6.529617964910637994e-19,-2.849729027293173726e-18,1.497047196608036757e-04
1762890398.730188370,6.628596329057201903e-19,-2.902782530625946677e-18,1.497063931310549378e-04
1762890398.750021219,4.957979453950831023e-19,-2.007310713881153590e-18,1.496757031418383121e-04
1762890398.770046711,4.272526933576873418e-19,-1.639899936649520474e-18,1.496637705713510513e-04
1762890398.790085793,4.236719577329159965e-19,-1.620706554703722866e-18,1.496632903581485152e-04
1762890398.810326576,4.806434278864405051e-19,-1.926080957342986858e-18,1.496732729719951749e-04
1762890398.830203295,4.270234867798277263e-19,-1.638671159849572952e-18,1.496638433309271932e-04
1762890398.850185156,4.243934918716095171e-19,-1.624574244452867685e-18,1.496634940849617124e-04
1762890398.870126963,4.251059528729590968e-19,-1.628393130545871875e-18,1.496636541560292244e-04
1762890398.890782118,4.259813167561933383e-19,-1.633085312570578925e-18,1.496638142270967364e-04
1762890398.910130024,7.179075203941467754e-19,-3.197846954110349732e-18,1.497178018325939775e-04
1762890398.930559635,7.194418887316443571e-19,-3.206071404145811348e-18,1.497180201113224030e-04
1762890398.950661182,7.208687752882983299e-19,-3.213719309294323503e-18,1.497182383900508285e-04
1762890398.970187664,4.289747799954461763e-19,-1.649130962092882556e-18,1.496642653364688158e-04
1762890398.990098000,7.234196452010470135e-19,-3.227392604819825051e-18,1.497185003245249391e-04
1762890399.010233164,7.245533479293392225e-19,-3.233468039623873901e-18,1.497186458436772227e-04
1762890399.030821562,7.255992661151242415e-19,-3.239074669815758322e-18,1.497187186032533646e-04
1762890399.050151825,7.265614322638882663e-19,-3.244232347730179588e-18,1.497187913628295064e-04
1762890399.070102930,7.274457400374957375e-19,-3.248972299435261575e-18,1.497188641224056482e-04
1762890399.090198994,7.282554981583968670e-19,-3.253311688928714758e-18,1.497189077781513333e-04
1762890399.110199928,7.289977376617983557e-19,-3.257289807289635406e-18,1.497189368819817901e-04
1762890399.130142927,7.296762325592449766e-19,-3.260926300057571654e-18,1.497189805377274752e-04
