1762818639.178892612,2.276276968654049207e-18,-6.342923507452572786e-18,1.498342899139970541e-04
1762818639.198318243,2.278124476552186394e-18,-6.348390757711242023e-18,1.498344354331493378e-04
1762818639.218331099,2.279863210199772859e-18,-6.353538302663159514e-18,1.498345955042168498e-04
1762818639.238438845,1.238208416689428802e-18,-3.269994267522684220e-18,1.497229823144152761e-04
1762818639.258412600,2.200473723729383474e-18,-6.118524710108268609e-18,1.498261262895539403e-04
1762818639.278349400,1.229992238460092716e-18,-3.245672055586328133e-18,1.497221237514168024e-04
1762818639.298372030,1.366073788982722681e-18,-3.648505084791742984e-18,1.497361081419512630e-04
1762818639.318362474,1.177446417228274186e-18,-3.090123222937568938e-18,1.497170596849173307e-04
1762818639.338386774,1.168239173227523004e-18,-3.062868035344252952e-18,1.497163757449015975e-04
1762818639.358718872,1.170814600064706856e-18,-3.070492572640460485e-18,1.497167395427823067e-04
1762818639.378404140,1.173984873159892903e-18,-3.079877763870487137e-18,1.497171324444934726e-04
1762818639.398385763,1.177008942081810204e-18,-3.088829926049842279e-18,1.497174671385437250e-04
1762818639.418427706,1.179838520162200973e-18,-3.097205336547094822e-18,1.497177290730178356e-04
1762818639.438782454,1.182480535038695343e-18,-3.105026122443630561e-18,1.497179473517462611e-04
1762818639.458336830,1.184941397361040601e-18,-3.112310274917772522e-18,1.497181365266442299e-04
1762818639.478920698,1.187227724574137169e-18,-3.119078680279987671e-18,1.497183111496269703e-04
1762818639.498256445,1.189350166628371669e-18,-3.125361530622634193e-18,1.497184275649487972e-04
1762818639.518893242,1.191312239041347451e-18,-3.131169372498522139e-18,1.497185294283553958e-04
1762818639.539140463,1.193127797088324777e-18,-3.136543358143126021e-18,1.497186458436772227e-04
1762818639.558887005,2.266077624906117238e-18,-6.312726038420405682e-18,1.498350611655041575e-04
1762818639.578384876,2.269260615903221288e-18,-6.322147625597384667e-18,1.498352212365716696e-04
1762818639.598370314,1.197756699796171520e-18,-3.150246018580373201e-18,1.497188350185751915e-04
1762818639.618442535,1.199051961237852992e-18,-3.154080414309862761e-18,1.497188932262361050e-04
1762818639.638331652,2.277310117239127939e-18,-6.345978285454731118e-18,1.498355268267914653e-04
1762818639.658357859,2.279546813615471325e-18,-6.352600279848524381e-18,1.498355995863676071e-04
1762818639.678322792,2.281583952669036294e-18,-6.358629599333423399e-18,1.498356723459437490e-04
1762818639.698374271,2.283434148904164279e-18,-6.364105948578830719e-18,1.498357014497742057e-04
1762818639.718281031,2.285110223620349851e-18,-6.369068205073536332e-18,1.498357742093503475e-04
1762818639.737412930,2.316675229000220249e-18,-6.462507354248138891e-18,1.498392230132594705e-04
1762818639.757330894,2.277277030014625818e-18,-6.345877369419999648e-18,1.498350902693346143e-04
1762818639.777334929,2.276479421108971561e-18,-6.343517423132385860e-18,1.498349301982671022e-04
1762818639.797458172,2.278129853226167989e-18,-6.348403579010736595e-18,1.498349884059280157e-04
1762818639.817312717,2.279830122975270737e-18,-6.353436973038121768e-18,1.498350611655041575e-04
1762818639.837863684,1.440477444310948691e-18,-3.868756812135012556e-18,1.497438497608527541e-04
1762818639.857410908,2.000908335939993156e-18,-5.527764724332084539e-18,1.498054480180144310e-04
1762818639.877943993,1.218719110879490348e-18,-3.212301521724407614e-18,1.497212069807574153e-04
1762818639.897402287,2.194671672117783400e-18,-6.101349545459523819e-18,1.498257915955036879e-04
1762818639.917258263,2.040065204981875242e-18,-5.643678370749752860e-18,1.498092460678890347e-04
1762818639.939032078,1.485270308456460831e-18,-4.001354691507875446e-18,1.497483754064887762e-04
1762818639.958327770,1.976080303059060892e-18,-5.454266831774604095e-18,1.498031779192388058e-04
1762818639.978473663,1.203348854327336264e-18,-3.166800384179396944e-18,1.497199264122173190e-04
1762818639.998316288,1.158294394313104229e-18,-3.033428677343490697e-18,1.497156918048858643e-04
1762818640.018851519,1.159209049275434739e-18,-3.036136866668989310e-18,1.497159828431904316e-04
1762818640.038433552,1.162973341448010430e-18,-3.047280230290997422e-18,1.497164339525625110e-04
1762818640.058363438,1.166714782756164343e-18,-3.058355971897929325e-18,1.497168414061889052e-04
1762818640.077911854,1.131974541197432580e-18,-2.955516742242274159e-18,1.497123157605528831e-04
1762818640.097429276,1.186421843862357382e-18,-3.116693504983691016e-18,1.497176708653569221e-04
1762818640.117568254,1.084633443777374269e-18,-2.815376216453846487e-18,1.497070916229858994e-04
1762818640.137303829,1.075842995407773244e-18,-2.789354975539306480e-18,1.497061020927503705e-04
1762818640.157297373,1.178572623632265133e-18,-3.093458415167382745e-18,1.497165503678843379e-04
1762818640.177262306,7.919574526129297967e-19,-1.948986415685192747e-18,1.496761688031256199e-04
1762818640.197225571,6.664124770342120133e-19,-1.577343782439738342e-18,1.496636541560292244e-04
1762818640.217276335,6.600301065241177055e-19,-1.558450667056297482e-18,1.496631448389962316e-04
1762818640.237245321,6.614703313681490958e-19,-1.562713955933395787e-18,1.496633340138942003e-04
1762818640.257284880,6.633174773747682911e-19,-1.568182446962983853e-18,1.496635377407073975e-04
1762818640.277371645,6.650782347061639797e-19,-1.573394615400257049e-18,1.496636978117749095e-04
1762818640.298358917,7.037679017983184586e-19,-1.687925009038583570e-18,1.496676268288865685e-04
1762818640.318447113,6.675814900349025797e-19,-1.580804809520236779e-18,1.496639597462490201e-04
1762818640.338325024,6.666679207471260452e-19,-1.578100445905071224e-18,1.496638433309271932e-04
1762818640.358322859,6.680109001703941702e-19,-1.582076186121730782e-18,1.496639160905033350e-04
1762818640.378427267,6.694103346704690393e-19,-1.586218396436666637e-18,1.496640034019947052e-04
1762818640.398386002,6.707257586395814916e-19,-1.590112762760566292e-18,1.496640761615708470e-04
1762818640.418237209,6.719502444401013953e-19,-1.593737571602350228e-18,1.496641489211469889e-04
1762818640.438325644,6.730856015296187104e-19,-1.597098303033576610e-18,1.496642071288079023e-04
