time,cf,px,py,pz,vx,vy,vz
1765155918.5569353,cf1,5.338425035006367e-05,1.0002397298812866,0.9983039498329163,-7.538263162132353e-06,-0.0010473072761669755,-0.0006978366291150451
1765155918.56449,cf2,1.0274187049755767e-18,-6.01495053047836e-18,0.00014960745465941727,6.784000694611979e-17,-4.488232769922669e-16,-2.0948535350839848e-08
1765155918.5718699,cf1,5.597158087766729e-05,1.0002202987670898,0.9982903003692627,-7.538263162132353e-06,-0.0010473072761669755,-0.0006978366291150451
1765155918.5721455,cf1,5.597158087766729e-05,1.0002202987670898,0.9982903003692627,3.6511100915959105e-05,-0.0010644432622939348,-0.0005885947030037642
1765155918.5843344,cf2,1.02807951888743e-18,-6.019322180015703e-18,0.00014960745465941727,6.784000694611979e-17,-4.488232769922669e-16,-2.0948535350839848e-08
1765155918.5846078,cf2,1.02807951888743e-18,-6.019322180015703e-18,0.00014960745465941727,6.788939293741165e-17,-4.49149967012111e-16,-2.1470214051078074e-08
1765155918.591979,cf1,5.969904668745585e-05,1.0002024173736572,0.9982801079750061,3.6511100915959105e-05,-0.0010644432622939348,-0.0005885947030037642
1765155918.592443,cf1,5.969904668745585e-05,1.0002024173736572,0.9982801079750061,7.698597619310021e-05,-0.0010645431466400623,-0.0004843187052756548
1765155918.6043303,cf2,1.0286922529261787e-18,-6.023376192197825e-18,0.00014960745465941727,6.788939293741165e-17,-4.49149967012111e-16,-2.1470214051078074e-08
1765155918.6046748,cf2,1.0286922529261787e-18,-6.023376192197825e-18,0.00014960745465941727,6.793517903867769e-17,-4.494529401094321e-16,-2.1993008303411443e-08
1765155918.6119802,cf1,6.43938037683256e-05,1.000184416770935,0.9982722401618958,7.698597619310021e-05,-0.0010645431466400623,-0.0004843187052756548
1765155918.6123252,cf1,6.43938037683256e-05,1.000184416770935,0.9982722401618958,0.00011300876940367743,-0.001054131193086505,-0.0003791155177168548
1765155918.6242816,cf2,3.4948489447820817e-19,-1.5298027141065953e-18,0.00014960949192754924,6.793517903867769e-17,-4.494529401094321e-16,-2.1993008303411443e-08
1765155918.6245391,cf2,3.4948489447820817e-19,-1.5298027141065953e-18,0.00014960949192754924,6.79775042162608e-17,-4.497330433171772e-16,-2.251678310472016e-08
1765155918.6320632,cf1,6.99156807968393e-05,1.0001670122146606,0.9982671141624451,0.00011300876940367743,-0.001054131193086505,-0.0003791155177168548
1765155918.6323028,cf1,6.99156807968393e-05,1.0001670122146606,0.9982671141624451,0.00014539090625476092,-0.0010320630390197039,-0.000272598146693781
1765155918.6443212,cf2,1.029779478443803e-18,-6.0305710091658115e-18,0.00014960745465941727,6.79775042162608e-17,-4.497330433171772e-16,-2.251678310472016e-08
