time,cf,px,py,pz,vx,vy,vz
1765143814.4117513,cf2,3.483451171422925e-19,-1.5222622390401385e-18,0.00014964102592784911,6.730092341475163e-17,-4.452568447678527e-16,1.0083707820740528e-05
1765143814.4122934,cf1,-9.028899512486532e-05,1.001044750213623,0.9983517527580261,-0.00038092982140369713,-0.0005822693929076195,0.0010602007387205958
1765143814.429893,cf2,3.4752677702253616e-19,-1.5168481351358258e-18,0.00014964089496061206,6.730092341475163e-17,-4.452568447678527e-16,1.0083707820740528e-05
1765143814.430679,cf1,-9.998969471780583e-05,1.0010437965393066,0.9983713626861572,-0.00038092982140369713,-0.0005822693929076195,0.0010602007387205958
1765143814.4308693,cf1,-9.998969471780583e-05,1.0010437965393066,0.9983713626861572,-0.00038603608845733106,-0.0006757591618224978,0.0010375120909884572
1765143814.4314337,cf2,3.4752677702253616e-19,-1.5168481351358258e-18,0.00014964089496061206,6.737546231411001e-17,-4.457499767618323e-16,1.0094150638906285e-05
1765143814.4502592,cf2,3.477177781958535e-19,-1.5181117569190771e-18,0.00014964092406444252,6.737546231411001e-17,-4.457499767618323e-16,1.0094150638906285e-05
1765143814.450668,cf1,-0.0001110817029257305,1.0010435581207275,0.998391330242157,-0.00038603608845733106,-0.0006757591618224978,0.0010375120909884572
1765143814.4509175,cf1,-0.0001110817029257305,1.0010435581207275,0.998391330242157,-0.0003861831210087985,-0.0007582925027236342,0.0009363999706692994
1765143814.4515388,cf2,3.477177781958535e-19,-1.5181117569190771e-18,0.00014964092406444252,6.74532636138043e-17,-4.462647080959669e-16,1.0105265573656652e-05
1765143814.4698594,cf2,3.4796536369294826e-19,-1.5197499881222384e-18,0.0001496409677201882,6.74532636138043e-17,-4.462647080959669e-16,1.0105265573656652e-05
1765143814.4707649,cf1,-0.00012190558481961489,1.0010415315628052,0.9984095692634583,-0.0003861831210087985,-0.0007582925027236342,0.0009363999706692994
1765143814.4709456,cf1,-0.00012190558481961489,1.0010415315628052,0.9984095692634583,-0.000379033328499645,-0.0008306054514832795,0.0008395605836994946
1765143814.471477,cf2,3.4796536369294826e-19,-1.5197499881222384e-18,0.0001496409677201882,6.752780913060757e-17,-4.467579459690649e-16,1.0115670193044934e-05
1765143814.4897547,cf2,3.4820470323331165e-19,-1.521333418609818e-18,0.00014964101137593389,6.752780913060757e-17,-4.467579459690649e-16,1.0115670193044934e-05
1765143814.4905653,cf1,-0.00013217487139627337,1.0010377168655396,0.9984260201454163,-0.000379033328499645,-0.0008306054514832795,0.0008395605836994946
1765143814.4908025,cf1,-0.00013217487139627337,1.0010377168655396,0.9984260201454163,-0.0003591880376916379,-0.0009049042710103095,0.000739503069780767
1765143814.4919024,cf2,3.4820470323331165e-19,-1.521333418609818e-18,0.00014964101137593389,6.759866873060132e-17,-4.472267787053702e-16,1.0125293556484394e-05
1765143814.5099359,cf2,3.4843158336569846e-19,-1.5228346480240252e-18,0.00014964102592784911,6.759866873060132e-17,-4.472267787053702e-16,1.0125293556484394e-05
1765143814.5107346,cf1,-0.00014152616495266557,1.0010324716567993,0.9984402656555176,-0.0003591880376916379,-0.0009049042710103095,0.000739503069780767
1765143814.5108998,cf1,-0.00014152616495266557,1.0010324716567993,0.9984402656555176,-0.0003313318593427539,-0.0009749155724421144,0.0006421213620342314
1765143814.5115597,cf2,3.4843158336569846e-19,-1.5228346480240252e-18,0.00014964102592784911,6.766584903123042e-17,-4.476712592444418e-16,1.0134252988791559e-05
1765143814.5300736,cf2,3.4864561634919655e-19,-1.5242505744375628e-18,0.00014964105503167957,6.766584903123042e-17,-4.476712592444418e-16,1.0134252988791559e-05
1765143814.531031,cf1,-0.00015024884487502277,1.001025676727295,0.9984529614448547,-0.0003313318593427539,-0.0009749155724421144,0.0006421213620342314
1765143814.531424,cf1,-0.00015024884487502277,1.001025676727295,0.9984529614448547,-0.00029734938289038837,-0.00104224041569978,0.0005455085774883628
1765143814.531721,cf2,3.4864561634919655e-19,-1.5242505744375628e-18,0.00014964105503167957,6.772931694527039e-17,-4.480911758280432e-16,1.0142688552150503e-05
1765143814.550364,cf2,3.488475259668419e-19,-1.5255861609341063e-18,0.00014964108413551003,6.772931694527039e-17,-4.480911758280432e-16,1.0142688552150503e-05
1765143814.5506725,cf1,-0.00015774120402056724,1.001017689704895,0.99846351146698,-0.00029734938289038837,-0.00104224041569978,0.0005455085774883628
1765143814.550929,cf1,-0.00015774120402056724,1.001017689704895,0.99846351146698,-0.00025688373716548085,-0.0011057789670303464,0.00045054146903567016
1765143814.551673,cf2,3.488475259668419e-19,-1.5255861609341063e-18,0.00014964108413551003,6.778902615060692e-17,-4.484862108188189e-16,1.0150666639674455e-05
1765143814.569961,cf2,3.490368986283283e-19,-1.5268393395621241e-18,0.00014964108413551003,6.778902615060692e-17,-4.484862108188189e-16,1.0150666639674455e-05
1765143814.5707319,cf1,-0.00016413874982390553,1.00100839138031,0.9984724521636963,-0.00025688373716548085,-0.0011057789670303464,0.00045054146903567016
1765143814.571039,cf1,-0.00016413874982390553,1.00100839138031,0.9984724521636963,-0.00021000709966756403,-0.0011710755061358213,0.00035484074032865465
1765143814.5716145,cf2,3.490368986283283e-19,-1.5268393395621241e-18,0.00014964108413551003,6.78449435600155e-17,-4.488562053980914e-16,1.0148626643058378e-05
1765143814.590427,cf2,3.492133465927435e-19,-1.5280069049967427e-18,0.00014964109868742526,6.78449435600155e-17,-4.488562053980914e-16,1.0148626643058378e-05
1765143814.5906699,cf1,-0.00016925977251958102,1.0009979009628296,0.9984794855117798,-0.00021000709966756403,-0.0011710755061358213,0.00035484074032865465
1765143814.590838,cf1,-0.00016925977251958102,1.0009979009628296,0.9984794855117798,-0.00015885887842159718,-0.0012275750050321221,0.0002622766769491136
1765143814.591532,cf2,3.492133465927435e-19,-1.5280069049967427e-18,0.00014964109868742526,6.789712873050025e-17,-4.492014772032159e-16,1.0156022653973196e-05
1765143814.6099892,cf2,5.70773130827795e-19,-2.9938269919272082e-18,0.00014967212337069213,6.789712873050025e-17,-4.492014772032159e-16,1.0156022653973196e-05
1765143814.6105595,cf1,-0.00017300403851550072,1.0009864568710327,0.9984846115112305,-0.00015885887842159718,-0.0012275750050321221,0.0002622766769491136
1765143814.610811,cf1,-0.00017300403851550072,1.0009864568710327,0.9984846115112305,-0.0001028333354042843,-0.001278778538107872,0.00017036804638337344
1765143814.613782,cf2,5.70773130827795e-19,-2.9938269919272082e-18,0.00014967212337069213,6.794570739351426e-17,-4.495229791462582e-16,1.0207820196228568e-05
1765143814.6288483,cf2,6.396278001130738e-19,-3.4493640406565924e-18,0.00014968161121942103,6.794570739351426e-17,-4.495229791462582e-16,1.0207820196228568e-05
1765143814.630591,cf1,-0.0001753105316311121,1.000974178314209,0.9984880089759827,-0.0001028333354042843,-0.001278778538107872,0.00017036804638337344
1765143814.6308289,cf1,-0.0001753105316311121,1.000974178314209,0.9984880089759827,-4.349282244220376e-05,-0.0013269019545987248,7.88842880865559e-05
1765143814.6310167,cf2,6.396278001130738e-19,-3.4493640406565924e-18,0.00014968161121942103,6.686294120657215e-17,-4.4235943622287133e-16,9.632921319280285e-06
1765143814.6489441,cf2,5.677597635550526e-19,-2.9738909051889146e-18,0.00014967202150728554,6.686294120657215e-17,-4.4235943622287133e-16,9.632921319280285e-06
1765143814.650627,cf2,5.677597635550526e-19,-2.9738909051889146e-18,0.00014967202150728554,6.674390660770332e-17,-4.4157185440060244e-16,9.606364073988516e-06
1765143814.6510136,cf1,-0.0001760648883646354,1.0009609460830688,0.9984895586967468,-4.349282244220376e-05,-0.0013269019545987248,7.88842880865559e-05
