time,cf,px,py,pz,vx,vy,vz
1765151918.9327583,cf1,-6.168312393128872e-05,0.9997337460517883,0.9984963536262512,0.0006963217747397721,0.0012342022964730859,0.00010043907968793064
1765151918.9400706,cf2,5.063184420158388e-19,-2.5674004969050965e-18,0.00014966324670240283,6.553502515584892e-17,-4.3357403696372932e-16,9.51749552768888e-06
1765151918.9525115,cf1,-5.18587366968859e-05,0.9997573494911194,0.9985050559043884,0.0006963217747397721,0.0012342022964730859,0.00010043907968793064
1765151918.952872,cf1,-5.18587366968859e-05,0.9997573494911194,0.9985050559043884,0.0006109325913712382,0.0012383516877889633,3.91180110455025e-05
1765151918.9593387,cf2,5.584373863527917e-19,-2.9122154915363483e-18,0.00014967037714086473,6.553502515584892e-17,-4.3357403696372932e-16,9.51749552768888e-06
1765151918.959703,cf2,5.584373863527917e-19,-2.9122154915363483e-18,0.00014967037714086473,6.595474321610323e-17,-4.3635084919284534e-16,9.606434105080552e-06
1765151918.972562,cf1,-4.412620546645485e-05,0.9997808933258057,0.9985131025314331,0.0006109325913712382,0.0012383516877889633,3.91180110455025e-05
1765151918.9728708,cf1,-4.412620546645485e-05,0.9997808933258057,0.9985131025314331,0.0005201257299631834,0.0012311905156821012,-1.170271571027115e-05
1765151918.979776,cf2,6.61957385652578e-19,-3.5970945689506535e-18,0.0001496850891271606,6.595474321610323e-17,-4.3635084919284534e-16,9.606434105080552e-06
1765151918.980079,cf2,6.61957385652578e-19,-3.5970945689506535e-18,0.0001496850891271606,6.49684196711399e-17,-4.298254397160962e-16,9.412760846316814e-06
1765151918.9924777,cf1,-3.8557125662919134e-05,0.9998041391372681,0.9985204339027405,0.0005201257299631834,0.0012311905156821012,-1.170271571027115e-05
1765151918.992829,cf1,-3.8557125662919134e-05,0.9998041391372681,0.9985204339027405,0.00042636640137061477,0.001215287484228611,-7.230330083984882e-05
1765151918.9993534,cf2,8.971503730028163e-19,-5.1531110502593605e-18,0.0001497200137237087,6.49684196711399e-17,-4.298254397160962e-16,9.412760846316814e-06
1765151918.9996264,cf2,8.971503730028163e-19,-5.1531110502593605e-18,0.0001497200137237087,6.56111191547589e-17,-4.340774921717536e-16,9.549728019919712e-06
1765151919.012523,cf1,-3.5252520319772884e-05,0.999826967716217,0.9985271096229553,0.00042636640137061477,0.001215287484228611,-7.230330083984882e-05
1765151919.0129287,cf1,-3.5252520319772884e-05,0.999826967716217,0.9985271096229553,0.00032852721051312983,0.0011907668085768819,-0.00012937880819663405
1765151919.0196104,cf2,9.115129167737277e-19,-5.248133009536083e-18,0.00014972203643992543,6.56111191547589e-17,-4.340774921717536e-16,9.549728019919712e-06
1765151919.0199559,cf2,9.115129167737277e-19,-5.248133009536083e-18,0.00014972203643992543,6.555367973302322e-17,-4.3369743907623244e-16,9.545578905090224e-06
1765151919.032502,cf1,-3.426442344789393e-05,0.9998491406440735,0.9985330700874329,0.00032852721051312983,0.0011907668085768819,-0.00012937880819663405
1765151919.032755,cf1,-3.426442344789393e-05,0.9998491406440735,0.9985330700874329,0.0002284904185216874,0.0011592800728976727,-0.00017618063429836184
1765151919.0407867,cf2,1.0163495808135453e-18,-5.941722298800572e-18,0.00014973712677601725,6.555367973302322e-17,-4.3369743907623244e-16,9.545578905090224e-06
1765151919.041138,cf2,1.0163495808135453e-18,-5.941722298800572e-18,0.00014973712677601725,6.555940382286209e-17,-4.3373534380062207e-16,9.584033250575885e-06
1765151919.0524602,cf1,-3.567650855984539e-05,0.9998704791069031,0.9985384345054626,0.0002284904185216874,0.0011592800728976727,-0.00017618063429836184
1765151919.0528173,cf1,-3.567650855984539e-05,0.9998704791069031,0.9985384345054626,0.00012503993639256805,0.0011194273829460144,-0.00020883999241050333
1765151919.0609872,cf2,5.15922474216674e-19,-2.630939962068051e-18,0.00014966473099775612,6.555940382286209e-17,-4.3373534380062207e-16,9.584033250575885e-06
1765151919.0612311,cf2,5.15922474216674e-19,-2.630939962068051e-18,0.00014966473099775612,6.51322543719846e-17,-4.309093507210061e-16,9.505123671260662e-06
1765151919.0725002,cf1,-3.951886901631951e-05,0.9998908638954163,0.9985430836677551,0.00012503993639256805,0.0011194273829460144,-0.00020883999241050333
1765151919.0727408,cf1,-3.951886901631951e-05,0.9998908638954163,0.9985430836677551,2.0269459128030576e-05,0.0010724589228630066,-0.00026300159515812993
1765151919.0807166,cf2,5.692592869092464e-19,-2.983811282275263e-18,0.0001496726181358099,6.51322543719846e-17,-4.309093507210061e-16,9.505123671260662e-06
1765151919.0809605,cf2,5.692592869092464e-19,-2.983811282275263e-18,0.0001496726181358099,6.428583022966114e-17,-4.253094041484711e-16,9.341577424493153e-06
